no_diacritics,with_diacritics
Thoi trang noi bat cua 3 cap doi dinh dam.,Thời trang nổi bật của 3 cặp đôi đình đám.
"Theo Forbes, loai UAV cam tu pho bien cua Nga la KUB, co hinh tam giac va su dung dong co dien, duoc phong len bang bo phong.","Theo Forbes, loại UAV cảm tử phổ biến của Nga là KUB, có hình tam giác và sử dụng động cơ điện, được phóng lên bằng bộ phóng."
Sasuke Viet Nam: Ca si Cuong Seven that bai ngay o thu thach bam tru.,Sasuke Việt Nam: Ca sĩ Cường Seven thất bại ngay ở thử thách bám trụ.
"Tinh toan dieu chinh Truoc su keu cuu cua nguoi dan, ong Doan Van Doan, Chu tich UBND phuong Long Binh Tan, thua nhan nhieu nam nay, nguoi dan lien tuc phan anh nhung kho khan, de nghi UBND phuong va UBND TP Bien Hoa som xoa bo cac du an da keo dai nhieu nam.","Tính toán điều chỉnh Trước sự kêu cứu của người dân, ông Đoàn Văn Đoàn, Chủ tịch UBND phường Long Bình Tân, thừa nhận nhiều năm nay, người dân liên tục phản ánh những khó khăn, đề nghị UBND phường và UBND TP Biên Hòa sớm xóa bỏ các dự án đã kéo dài nhiều năm."
Ben cang du lich My Tho moi ngay co hang tram khach xuong thuyen di tham quan cac diem du lich ven song.,Bến cảng du lịch Mỹ Tho mỗi ngày có hàng trăm khách xuống thuyền đi tham quan các điểm du lịch ven sông.
Chu tich Quoc hoi tiep Chanh an Toa an Nhan dan Toi cao Lao.,Chủ tịch Quốc hội tiếp Chánh án Tòa án Nhân dân Tối cao Lào.
"M.U chu y, Lucas Moura san sang ra di vao mua dong.","M.U chú ý, Lucas Moura sẵn sàng ra đi vào mùa đông."
Quen noi ma chua lam.,Quen nói mà chưa làm.
My: Mot phu nu hau toa vi pham toi da phu.,Mỹ: Một phụ nữ hầu tòa vì phạm tội đa phu.
Mot dau xe khach Dat Cang moi nam chiu gan 500 trieu phi BOT.,Một đầu xe khách Đất Cảng mỗi năm chịu gần 500 triệu phí BOT.
My lai tang muc thue chong ban pha gia ca tra.,Mỹ lại tăng mức thuế chống bán phá giá cá tra.
"3 to may tren moi tau duoc lenh tang het cong suat, vuot qua nhung con song cap 4, cap 5 de nhanh chong co dong den vi tri chien dau.","3 tổ máy trên mỗi tàu được lệnh tăng hết công suất, vượt qua những con sóng cấp 4, cấp 5 để nhanh chóng cơ động đến vị trí chiến đấu."
Trien lam quoc te ve hang hai tai TP Ho Chi Minh.,Triển lãm quốc tế về hàng hải tại TP Hồ Chí Minh.
Xe bac ty gay tai nan lien hoan.,Xe bạc tỷ gây tai nạn liên hoàn.
Dao dien tre Dang Minh Quoc: 'Ga tinh cho vai la tu dao mo chon minh'.,Đạo diễn trẻ Đặng Minh Quốc: 'Gạ tình cho vai là tự đào mồ chôn mình'.
Giai quan vot Men s Futures F2 Campuchia: Ly Hoang Nam vao ban ket.,Giải quần vợt Men s Futures F2 Campuchia: Lý Hoàng Nam vào bán kết.
Thanh Doan TP.HCM phai la dau tau cua cong tac Doan.,Thành Đoàn TP.HCM phải là đầu tàu của công tác Đoàn.
"Bach Quoc Khanh, Vien truong Vien Huyet hoc - Truyen mau Trung uong, Truong Ban to chuc Hanh trinh Do 2018 - 2022 khang dinh: ""Lan dau tien, chung ta co duoc mot chien dich ve hien mau quy mo nhat, keo dai nhat.","Bạch Quốc Khánh, Viện trưởng Viện Huyết học - Truyền máu Trung ương, Trưởng Ban tổ chức Hành trình Đỏ 2018 - 2022 khẳng định: ""Lần đầu tiên, chúng ta có được một chiến dịch về hiến máu quy mô nhất, kéo dài nhất."
Cuc doc thuc vat co the 'gia dang' hoa hong tuyet dep.,Cực độc thực vật có thể 'giả dạng' hoa hồng tuyệt đẹp.
Chanh long phim nha giao.,Chạnh lòng phim nhà giáo.
Ngung thu tien ky quy.,Ngừng thu tiền ký quỹ.
Xon xao clip chong danh vo truoc mat con va nhan tinh.,Xôn xao clip chồng đánh vợ trước mặt con và nhân tình.
Anh em thu dich.,Anh em thù địch.
May... hon tu xa.,Máy... hôn từ xa.
Con thong bao dong tien khong con?.,Còn thông báo đóng tiền không con?.
Lat lai cau chuyen tinh dac biet cua sao ngoai Thanh Hoa va DJ Myno.,Lật lại câu chuyện tình đặc biệt của sao ngoại Thanh Hóa và DJ Myno.
Tien Giang: Nhieu loai trai cay tang gia.,Tiền Giang: Nhiều loại trái cây tăng giá.
